year_manufactured,make,model,variant,type_of_fuel,year_manufactured,make,model,variant,type_of_fuel
2023,Toyota,"Corolla Cross",LE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Crown,XLE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Prius,Base,Hybrid,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,bz4x,XLE,Electric,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Sienna,LE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Highlander,XLE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Highlander,Limited,Gasoline,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Highlander,XSE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,"Grand Highlander",Limited,Hybrid,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,"Grand Highlander",XLE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,"Corolla Cross",LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Sienna,Limited,Hybrid,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,XLE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Corolla,LE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,Crown,Limited,Hybrid,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,Camry,LE,Hybrid,2012,Toyota,Camry,LE,Hybrid
2023,Toyota,RAV4,XLE,Gasoline,2012,Toyota,Camry,LE,Hybrid
2024,Toyota,RAV4,XLE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Highlander,LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Sienna,XLE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Corolla,SE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Camry,LE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Camry,SE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Camry,XSE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Camry,SE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,"Corolla Cross",LE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Crown,XLE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Prius,Base,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,bz4x,XLE,Electric,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Sienna,LE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Highlander,XLE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Highlander,Limited,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Highlander,XSE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,"Grand Highlander",Limited,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,"Grand Highlander",XLE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,"Corolla Cross",LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Sienna,Limited,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,XLE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Corolla,LE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,Crown,Limited,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,Camry,LE,Hybrid,2011,Toyota,Avalon,XLS,Gasoline
2023,Toyota,RAV4,XLE,Gasoline,2011,Toyota,Avalon,XLS,Gasoline
2024,Toyota,RAV4,XLE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Highlander,LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Sienna,XLE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Corolla,SE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Camry,LE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Camry,SE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Camry,XSE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Camry,SE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2014,Toyota,Corolla,L,Gasoline
2023,Toyota,"Corolla Cross",LE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Crown,XLE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Prius,Base,Hybrid,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,bz4x,XLE,Electric,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Sienna,LE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Highlander,XLE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Highlander,Limited,Gasoline,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Highlander,XSE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,"Grand Highlander",Limited,Hybrid,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,"Grand Highlander",XLE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,"Corolla Cross",LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Sienna,Limited,Hybrid,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,XLE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Corolla,LE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,Crown,Limited,Hybrid,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,Camry,LE,Hybrid,2014,Toyota,Corolla,L,Gasoline
2023,Toyota,RAV4,XLE,Gasoline,2014,Toyota,Corolla,L,Gasoline
2024,Toyota,RAV4,XLE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Highlander,LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Sienna,XLE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Corolla,SE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Camry,LE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Camry,SE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Camry,XSE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Camry,SE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,"Corolla Cross",LE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Crown,XLE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Prius,Base,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,bz4x,XLE,Electric,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Sienna,LE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Highlander,XLE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Highlander,Limited,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Highlander,XSE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,"Grand Highlander",Limited,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,"Grand Highlander",XLE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,"Corolla Cross",LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Sienna,Limited,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,XLE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Corolla,LE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,Crown,Limited,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,Camry,LE,Hybrid,2015,Toyota,RAV4,XLE,Gasoline
2023,Toyota,RAV4,XLE,Gasoline,2015,Toyota,RAV4,XLE,Gasoline
2024,Toyota,RAV4,XLE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Highlander,LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Sienna,XLE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Corolla,SE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Camry,LE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Camry,SE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Camry,XSE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Camry,SE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2009,Toyota,Matrix,S,Gasoline
2023,Toyota,"Corolla Cross",LE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Crown,XLE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Prius,Base,Hybrid,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,bz4x,XLE,Electric,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Sienna,LE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Highlander,XLE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Highlander,Limited,Gasoline,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Highlander,XSE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,"Grand Highlander",Limited,Hybrid,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,"Grand Highlander",XLE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,"Corolla Cross",LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Sienna,Limited,Hybrid,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,XLE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Corolla,LE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,Crown,Limited,Hybrid,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,Camry,LE,Hybrid,2009,Toyota,Matrix,S,Gasoline
2023,Toyota,RAV4,XLE,Gasoline,2009,Toyota,Matrix,S,Gasoline
2024,Toyota,RAV4,XLE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Highlander,LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Sienna,XLE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Corolla,SE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Camry,LE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Camry,SE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Camry,XSE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Camry,SE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,"Corolla Cross",LE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Crown,XLE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Prius,Base,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,bz4x,XLE,Electric,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Sienna,LE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Highlander,XLE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Highlander,Limited,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Highlander,XSE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,"Grand Highlander",Limited,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,"Grand Highlander",XLE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,"Corolla Cross",LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Sienna,Limited,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,XLE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Corolla,LE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,Crown,Limited,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,Camry,LE,Hybrid,2016,Toyota,Sienna,LE,Gasoline
2023,Toyota,RAV4,XLE,Gasoline,2016,Toyota,Sienna,LE,Gasoline
2024,Toyota,RAV4,XLE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Highlander,LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Sienna,XLE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Corolla,SE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Corolla,LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Camry,LE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Camry,SE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Camry,XSE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Camry,SE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,"Corolla Cross",LE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Crown,XLE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Prius,Base,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,bz4x,XLE,Electric,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Sienna,LE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Highlander,XLE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Highlander,Limited,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Highlander,XSE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,"Grand Highlander",Limited,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,"Grand Highlander",XLE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,"Corolla Cross",LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Sienna,Limited,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,XSE,"Plug-in Hybrid",2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,XLE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Corolla,LE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,Crown,Limited,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,Camry,LE,Hybrid,2014,Toyota,Sienna,Limited,Gasoline
2023,Toyota,RAV4,XLE,Gasoline,2014,Toyota,Sienna,Limited,Gasoline
2024,Toyota,RAV4,XLE,Gasoline,2011,Toyota,"FJ Cruiser",Base,Gasoline
2023,Toyota,Highlander,LE,Gasoline,2011,Toyota,"FJ Cruiser",Base,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2011,Toyota,"FJ Cruiser",Base,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2011,Toyota,"FJ Cruiser",Base,Gasoline
2024,Toyota,RAV4,Adventure,Gasoline,2011,Toyota,"FJ Cruiser",Base,Gasoline
2024,Toyota,"Prius Prime",N/A,"Plug-in Hybrid",2011,Toyota,"FJ Cruiser",Base,Gasoline
2024,Toyota,Sienna,XLE,Hybrid,2011,Toyota,"FJ Cruiser",Base,Gasoline
2023,Toyota,Corolla,SE,Gasoline,2011,Toyota,"FJ Cruiser",Base,Gasoline
